"lang"
{
    "Language"    "russian"
    "Tokens"
    {
		"ui_common_orb_upgrade"    "Обычное Улучшение"
        "ui_rare_orb_upgrade"    "Редкое Улучшение"
        "ui_epic_orb_upgrade"    "Эпическое Улучшение"
        "patreon_new_methods_announcement"    "Теперь вы можете поддержать нас при помощи"
        "patreon_support_tier_1"    "Базовая Поддержка"
        "patreon_support_tier_1_tooltip"    "- Преимущества действуют 30 дней<br>
		- Предметы моментально попадают в Ваш инвентарь при покупке<br>
- Иммунитет к кику из игры при помощи соответствующего предмета<br>
- Выбор героя перед другими игроками<br>
- Улучшенные преимущества! Купите преимущества Первого Уровня, они в два раза лучше, чем Начальные Преимущества"
        "patreon_support_tier_2"    "Продвинутая Поддержка"
        "patreon_support_tier_2_tooltip"    "- Преимущества действуют 30 дней<br>
		- Предметы моментально попадают в Ваш инвентарь при покупке<br>
- Иммунитет к кику из игры при помощи соответствующего предмета<br>
- Выбор героя перед другими игроками, <font color='#70EA72'>даже перед Поддержавшими Базово</font><br>
- Лучшие Преимущества! Купите <font color='#70EA72'>преимущества Второго Уровня</font>, которые в два раза лучше преимуществ Первого Уровня<br>
<font color='#70EA72'>- Кикайте Троллей из игры! Вы имете доступ к предмету, который может использоваться на дружественных игроков, которые занимаются вредительством союзникам (ПРЕДУПРЕЖДЕНИЕ: Это преимущество будет убрано для тех поддержавших, кто использовал его не по назначанию в корыстных целях)</font>"
        "cosmetics_box"    "Коробка с Косметикой"
        "cosmetics_box_description"    "Используйте косметические умения, добавьте 1 из 23 эффектов для своего героя, вардов, курьера или питомца, эффекты при убийстве и выбора питомца"
        "unlimited_chat_wheel"    "Колесо Чата без Ограничений"
        "unlimited_chat_wheel_description"    "Используйте Колесо Чата (L) без Ограничений"
        "high_tier_supporter_perk"    "Функция только для Поддержавших Высшего Уровня"
        "available_perk"    "Доступно"
        "not_supporter"    "Вы не Поддержавший"
        "standard_tier_supporter"    "Вы - Поддержавший Стандартного Уровня"
        "high_tier_supporter"    "Вы - Поддержавший Высшего Уровня"
        "thanks_for_supporting"    "Спасибо за поддержку!"
        "pre_battleground_victory"    ""
        "post_battleground_victory"    " побеждает!"
        "DOTA_Tooltip_modifier_get_xp_late_bonus"    "Золотоносная Аура"
        "DOTA_Tooltip_modifier_get_xp_late_bonus_Description"    "Получает больше золота и опыта!"
        "DOTA_Tooltip_modifier_core_spawn_movespeed"    "Бонус Появления"
        "DOTA_Tooltip_modifier_core_spawn_movespeed_Description"    "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."
        "DOTA_Tooltip_ability_item_center_chest"    "Сундук с Сокровищами"
        "DOTA_Tooltip_ability_item_core_pumpkin"    "Тыква"
        "DOTA_Tooltip_modifier_core_pumpkin_regeneration"    "Тыквенная Регенерация"
        "DOTA_Tooltip_modifier_core_pumpkin_regeneration_Description"    "Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% здоровья и %dMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% маны в секунду."

		//	Modified Abilities, Heroes and Modifiers (alphabetical order of heroes)

		// Alchemist
		"DOTA_Tooltip_ability_alchemist_goblins_greed_custom"    "Greevil's Greed"
        "DOTA_Tooltip_ability_alchemist_goblins_greed_custom_Description"    "<font color='#70EA72'>Alchemist синтезирует дополнительное золото. Он получает дополнительное золото за захваченные сферы.</font>"
        "DOTA_Tooltip_ability_alchemist_goblins_greed_custom_bonus_orb_gold"    "ДОПОЛНИТЕЛЬНОЕ ЗОЛОТО ЗА СФЕРУ:"
        "DOTA_Tooltip_ability_alchemist_goblins_greed_custom_Lore"    "Пускай эксперимент с горой и не удался, зато структуры поменьше Раззил легко обращает в звонкую монету."

		// Ancient Apparation

		// Anti-Mage (antimage)

		// Arc Warden

		// Axe

		// Bane

		// Batrider

		// Beastmaster

		// Bloodseeker

		// Bounty Hunter

		// Brewmaster
		"DOTA_Tooltip_ability_brewmaster_primal_split_brewling_added_health"		"ДОПОЛНИТЕЛЬНОЕ ЗДОРОВЬЕ ВОИНОВ:"

		// Bristleback

		// Broodmother
		"DOTA_Tooltip_ability_broodmother_buff_spiderling_lua"								"Buff Spiderling"
		"DOTA_Tooltip_ability_broodmother_buff_spiderling_lua_Description"					"Наносит дебафф целям при атаке. Если жертва умрет под действием дебаффа, все паучки получат бонус к урону, здоровью и увеличат время жизни."
		"DOTA_Tooltip_ability_broodmother_buff_spiderling_lua_debuff_duration"				"ДЛИТЕЛЬНОСТЬ ДЕБАФФА:"
		"DOTA_Tooltip_ability_broodmother_buff_spiderling_lua_buff_damage"					"БОНУС К УРОНУ:"
		"DOTA_Tooltip_ability_broodmother_buff_spiderling_lua_buff_hp"						"БОНУС К ЗДОРОВЬЮ:"

		"DOTA_Tooltip_modifier_broodmother_spiderling_lua"									"Spiderling Buff"
		"DOTA_Tooltip_modifier_broodmother_spiderling_lua_Description"						"Паучки получают бонус к урону, здоровью и увеличивают время жизни за убийства."
		"DOTA_Tooltip_modifier_broodmother_spiderling_debuff_lua"							"Spiderling Debuff"
		"DOTA_Tooltip_modifier_broodmother_spiderling_debuff_lua_Description"				"При смерти даст паучкам бонусное здоровье, урон и увеличит их время жизни."

		"DOTA_Tooltip_modifier_broodmother_spawn_spiderlings_lua"			"Spawn Spiderlings"
		"DOTA_Tooltip_modifier_broodmother_spawn_spiderlings_lua_Description"		"Призовет паучков при смерти."


		// Centaur Warrunner (centaur)

		// Chen
		"DOTA_Tooltip_Ability_chen_soul_persuasion"    "Soul Persuasion"
        "DOTA_Tooltip_chen_soul_persuasion_passive"    "Души от Soul Persuasion"
        "DOTA_Tooltip_Ability_chen_soul_persuasion_Description"    "<font color='#70EA72'>Chen постепенно аккумулирует души, вплоть до максимума. После аккумуляции достаточного количества душ, он может использовать их для призыва случайного нейтрального крипа. Чем больше душ использовано, тем более сильный крип будет призван.</font><br><br><font color='#70EA72'>Убийство вражеского героя моментально даёт</font> %souls_per_kill% <font color='#70EA72'>душ.</font>"
        "DOTA_Tooltip_Ability_chen_soul_persuasion_souls_limit"    "МАКСИМУМ ДУШ:"
		"DOTA_Tooltip_Ability_chen_soul_persuasion_souls_tick_rate"    "ИНТЕРВАЛ ПОЛУЧЕНИЯ ДУШ:"
		"DOTA_Tooltip_ability_chen_soul_persuasion_shard_description"    "Увеличивает максимум душ."
		"DOTA_Tooltip_ability_chen_soul_persuasion_creeps_with_aghanim"    "МАКСИМАЛЬНОЕ КОЛИЧЕСТВО ПРИЗВАННЫХ КРИПОВ СО СКИПЕТРОМ:"
		"DOTA_Tooltip_ability_chen_soul_persuasion_movement_speed_bonus"    "ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ КРИПОВ:"
        "DOTA_Tooltip_ability_chen_soul_persuasion_damage_bonus"    "ДОП. УРОН КРИПОВ:"
        "DOTA_Tooltip_ability_chen_soul_persuasion_health_min"    "МИН. ЗДОРОВЬЯ КРИПОВ:"
        "dota_chen_soul_persuasion_not_enough_souls"    "Недостаточно Душ"

		"DOTA_Tooltip_Ability_chen_soul_persuasion_souls_per_second"    "ДУШИ В СЕКУНДУ:"
		"DOTA_Tooltip_Ability_chen_soul_persuasion_souls_summon_little"    "СТОИМОСТЬ МАЛЕНЬКОГО КРИПА В ДУШАХ:"
        "DOTA_Tooltip_Ability_chen_soul_persuasion_souls_summon_middle"    "СТОИМОСТЬ СРЕДНЕГО КРИПА В ДУШАХ:"
        "DOTA_Tooltip_Ability_chen_soul_persuasion_souls_summon_big"    "СТОИМОСТЬ БОЛЬШОГО КРИПА В ДУШАХ:"
        "DOTA_Tooltip_Ability_chen_soul_persuasion_souls_summon_ancient"    "СТОИМОСТЬ ДРЕВНЕГО КРИПА В ДУШАХ:"
		"DOTA_Tooltip_Ability_chen_soul_persuasion_creeps_max_summoned"    "МАКСИМАЛЬНОЕ КОЛИЧЕСТВО ПРИЗВАННЫХ КРИПОВ:"
        "DOTA_Tooltip_ability_special_chen_soul_persuasion_tickrate"    "{s:value} сек. к интервалу получения душ от Soul Persuasion"
		"DOTA_Tooltip_ability_special_chen_soul_persuasion_extra_souls"    "+{s:value} души в секунду от Soul Persuasion"
        "DOTA_Tooltip_ability_chen_soul_persuasion_scepter_description"         "Дарует крипам под действием Holy Persuasion способность Martyrdom, которая позволяет пожертвовать жизнью крипа, чтобы излечить любого союзника способностью Hand of God текущего уровня."

        "DOTA_Tooltip_ability_special_bonus_unique_chen_soul_persuasion_movement_speed"      "+{s:bonus_movement_speed_bonus} Доп. Скорость Передвижения от Soul Persuasion"

